num_parts,num_edges,avg_degree,density,avg_edge_weight,set_num
5,10,4.0,1.0,0.37,3390-1
8,28,7.0,1.0,0.5892857142857143,3391-1
21,210,20.0,1.0,0.4161904761904762,3-4
31,465,30.0,1.0,0.25870967741935486,340-1
17,136,16.0,1.0,0.29264705882352937,3401-1
19,171,18.0,1.0,0.3187134502923977,3401-2
40,780,39.0,1.0,0.366025641025641,340-2
32,496,31.0,1.0,0.23568548387096774,3402-1
11,55,10.0,1.0,0.5290909090909092,340-3
37,666,36.0,1.0,0.2280780780780781,3403-1
50,1225,49.0,1.0,0.2591020408163265,3404-1
48,1128,47.0,1.0,0.25416666666666665,3405-1
48,1128,47.0,1.0,0.25443262411347517,3406-1
48,1128,47.0,1.0,0.2569148936170213,3407-1
87,3741,86.0,1.0,0.23084736701416733,3408-1
52,1326,51.0,1.0,0.31025641025641026,3409-1
52,1326,51.0,1.0,0.3172699849170437,3409-3
19,171,18.0,1.0,0.3584795321637427,3410-1
18,153,17.0,1.0,0.3993464052287582,341-1
49,1176,48.0,1.0,0.2560374149659864,3411-1
21,210,20.0,1.0,0.2861904761904762,341-2
12,66,11.0,1.0,0.2590909090909091,3412-1
20,190,19.0,1.0,0.2405263157894737,3413-1
16,120,15.0,1.0,0.28833333333333333,3414-1
34,561,33.0,1.0,0.2538324420677362,3416-1
12,66,11.0,1.0,0.253030303030303,3418-1
18,153,17.0,1.0,0.2503267973856209,3419-1
65,2080,64.0,1.0,0.29899038461538463,3420-1
65,2080,64.0,1.0,0.2949519230769231,3420-2
62,1891,61.0,1.0,0.2749867794817557,3420-3
65,2080,64.0,1.0,0.30504807692307695,3420-4
21,210,20.0,1.0,0.40190476190476193,342-1
50,1225,49.0,1.0,0.2867755102040816,3421-1
60,1770,59.0,1.0,0.21694915254237288,3422-1
60,1770,59.0,1.0,0.2231638418079096,3422-2
31,465,30.0,1.0,0.29698924731182796,3423-1
23,253,22.0,1.0,0.20869565217391306,3424-1
72,2556,71.0,1.0,0.30676838810641627,3425-1
81,3240,80.0,1.0,0.36574074074074076,3425-2
49,1176,48.0,1.0,0.2522108843537415,3426-1
34,561,33.0,1.0,0.2251336898395722,3427-1
29,406,28.0,1.0,0.20467980295566504,3428-1
53,1378,52.0,1.0,0.22343976777939045,3429-1
36,630,35.0,1.0,0.22634920634920633,3430-1
18,153,17.0,1.0,0.3980392156862745,343-1
52,1326,51.0,1.0,0.22579185520361994,3431-1
87,3741,86.0,1.0,0.2504945201817696,3432-1
91,4095,90.0,1.0,0.2328205128205128,3433-1
56,1540,55.0,1.0,0.2388961038961039,3438-1
61,1830,60.0,1.0,0.23896174863387978,3439-1
38,703,37.0,1.0,0.21877667140825033,3440-1
22,231,21.0,1.0,0.4515151515151515,344-1
20,190,19.0,1.0,0.3126315789473684,344-2
45,990,44.0,1.0,0.2404040404040404,3442-1
1,0,0.0,0.0,0.0,3444-1
1,0,0.0,0.0,0.0,3445-1
1,0,0.0,0.0,0.0,3446-1
1,0,0.0,0.0,0.0,3447-1
2,1,1.0,1.0,1.0,3448-1
2,1,1.0,1.0,1.5,3449-1
40,780,39.0,1.0,0.596923076923077,3450-1
32,496,31.0,1.0,0.30887096774193545,345-1
124,7626,123.0,1.0,0.2149619722003672,3451-1
29,406,28.0,1.0,0.2655172413793103,345-2
1,0,0.0,0.0,0.0,3453-1
1,0,0.0,0.0,0.0,3454-1
1,0,0.0,0.0,0.0,3455-1
1,0,0.0,0.0,0.0,3456-1
1,0,0.0,0.0,0.0,3457-1
1,0,0.0,0.0,0.0,3458-1
1,0,0.0,0.0,0.0,3459-1
1,0,0.0,0.0,0.0,3460-1
16,120,15.0,1.0,0.5125,346-1
1,0,0.0,0.0,0.0,3461-1
38,703,37.0,1.0,0.33399715504978666,346-2
1,0,0.0,0.0,0.0,3462-1
1,0,0.0,0.0,0.0,3463-1
1,0,0.0,0.0,0.0,3464-1
1,0,0.0,0.0,0.0,3465-1
